OFF_TEAM_ID,OFF_TEAM_ABBREVIATION,OFF_TEAM_CITY,OFF_TEAM_NICKNAME,OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_TEAM_ID,DEF_TEAM_ABBREVIATION,DEF_TEAM_CITY,DEF_TEAM_NICKNAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,POSS,PLAYER_PTS,PLAYER_PTS_DIFF,TEAM_PTS,TEAM_PTS_DIFF,AST,TOV,BLK,HELP_BLK,HELP_BLK_REC,FGM,FGA,FGA_DIFF,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,SFL,DEF_FOULS,OFF_FOULS
1610612743,DEN,Denver,Nuggets,1627750,Jamal Murray,1610612750,MIN,Minnesota,Timberwolves,201952,Jeff Teague,4,200,49,-1.2686,220,-3.3773,12,2,0,0,0,17,38,0.9147946513849092,0.447,5,14,0.357,10,3,1,1
1610612743,DEN,Denver,Nuggets,203999,Nikola Jokic,1610612763,MEM,Memphis,Grizzlies,201188,Marc Gasol,4,159,44,-0.6219,184,2.3459,15,6,1,1,3,14,30,0.9116954094567404,0.467,3,9,0.333,13,5,2,1
1610612743,DEN,Denver,Nuggets,203914,Gary Harris,1610612744,GSW,Golden State,Warriors,202691,Klay Thompson,4,143,19,-11.8232,148,-9.8808,10,2,0,0,2,8,19,0.673666795986622,0.421,2,7,0.286,1,0,0,0
1610612743,DEN,Denver,Nuggets,201163,Wilson Chandler,1610612756,PHX,Phoenix,Suns,203933,T.J. Warren,3,134,25,2.9915,172,14.9809,5,2,0,0,0,11,15,0.8266884310618067,0.733,3,7,0.429,0,0,0,1
1610612743,DEN,Denver,Nuggets,1627750,Jamal Murray,1610612762,UTA,Utah,Jazz,201937,Ricky Rubio,4,125,41,7.0314,141,-0.5773,5,6,1,0,0,16,27,1.0399770773638968,0.593,6,12,0.5,3,2,0,1
1610612743,DEN,Denver,Nuggets,203999,Nikola Jokic,1610612750,MIN,Minnesota,Timberwolves,201959,Taj Gibson,4,118,26,-6.261,143,7.8091,10,11,1,0,0,8,18,0.7370817162977867,0.444,5,10,0.5,5,1,1,1
1610612743,DEN,Denver,Nuggets,201163,Wilson Chandler,1610612757,POR,Portland,Trail Blazers,202323,Evan Turner,4,118,16,-2.1059,133,-0.6655,4,0,0,0,0,6,12,0.7510206656101426,0.5,4,5,0.8,0,1,1,0
1610612743,DEN,Denver,Nuggets,203115,Will Barton,1610612757,POR,Portland,Trail Blazers,203468,CJ McCollum,4,115,18,-7.7247,117,-11.6382,6,3,0,0,1,6,15,0.6788993320197044,0.4,2,4,0.5,4,3,0,0
1610612743,DEN,Denver,Nuggets,201163,Wilson Chandler,1610612750,MIN,Minnesota,Timberwolves,203952,Andrew Wiggins,4,115,5,-11.3174,135,4.014,6,1,0,0,0,2,5,0.3210895087163233,0.4,1,3,0.333,0,3,0,0
1610612743,DEN,Denver,Nuggets,1627750,Jamal Murray,1610612742,DAL,Dallas,Mavericks,1628372,Dennis Smith Jr.,4,114,25,-3.8388,118,-9.8686,4,1,0,0,0,9,19,0.8024482387774594,0.474,7,14,0.5,0,0,2,0
1610612743,DEN,Denver,Nuggets,203999,Nikola Jokic,1610612760,OKC,Oklahoma City,Thunder,203500,Steven Adams,3,114,27,-4.6106,152,19.956,16,2,0,0,1,12,25,1.0596461710261569,0.48,2,7,0.286,1,2,1,0
1610612743,DEN,Denver,Nuggets,1627750,Jamal Murray,1610612757,POR,Portland,Trail Blazers,203081,Damian Lillard,3,114,24,-4.716,116,-11.623,7,6,0,0,2,10,21,0.886917488061127,0.476,0,4,0,4,1,0,0
1610612743,DEN,Denver,Nuggets,201163,Wilson Chandler,1610612742,DAL,Dallas,Mavericks,203084,Harrison Barnes,4,108,7,-9.1838,105,-16.1551,1,2,0,1,0,2,16,1.0940882408874801,0.125,0,8,0,3,1,0,1
1610612743,DEN,Denver,Nuggets,1627750,Jamal Murray,1610612760,OKC,Oklahoma City,Thunder,201566,Russell Westbrook,4,107,35,6.9416,129,7.1834,5,2,2,0,2,13,22,0.9899378099331423,0.591,7,10,0.7,2,0,1,0
1610612743,DEN,Denver,Nuggets,1627750,Jamal Murray,1610612758,SAC,Sacramento,Kings,1628368,De'Aaron Fox,4,105,31,3.7552,120,0.9084,5,5,0,0,0,11,28,1.2839191079274117,0.393,2,13,0.154,7,3,0,1
1610612743,DEN,Denver,Nuggets,203486,Mason Plumlee,1610612750,MIN,Minnesota,Timberwolves,1626157,Karl-Anthony Towns,4,105,29,9.9844,123,3.7655,8,3,1,2,0,12,19,1.4123204175824176,0.632,0,0,0,5,3,1,0
1610612743,DEN,Denver,Nuggets,203999,Nikola Jokic,1610612757,POR,Portland,Trail Blazers,203994,Jusuf Nurkic,4,104,26,-3.2948,137,18.3534,14,5,0,0,0,11,23,1.0686095160965794,0.478,4,10,0.4,0,1,0,1
1610612743,DEN,Denver,Nuggets,203999,Nikola Jokic,1610612762,UTA,Utah,Jazz,202324,Derrick Favors,4,103,15,-13.7317,101,-15.3191,7,3,1,1,0,5,16,0.7505967977867203,0.313,1,4,0.25,4,2,1,0
1610612743,DEN,Denver,Nuggets,203999,Nikola Jokic,1610612759,SAS,San Antonio,Spurs,200746,LaMarcus Aldridge,3,102,41,11.9012,112,-3.5734,12,5,0,2,0,15,24,1.1369387142857144,0.625,4,7,0.571,7,1,0,2
1610612743,DEN,Denver,Nuggets,201163,Wilson Chandler,1610612760,OKC,Oklahoma City,Thunder,2546,Carmelo Anthony,4,101,9,-6.7544,119,4.4444,0,0,0,0,0,3,9,0.6580717591125198,0.333,1,5,0.2,2,1,1,0
